place_id,name,types,overview,address,location,phone,website,price_level,rating,reviews
ChIJnZ2b0Dq_QIYRD_Cn_lhWq8c,Flying Saucer Draught Emporium,"bar,restaurant,food,point_of_interest,establishment",Chain taproom offering 200+ global beers & pub fare in tavernlike surroundings.,"705 Main St, Houston, TX 77002, USA","{'lat': 29.7588934, 'lng': -95.3631059}",(713) 228-9472,http://www.beerknurd.com/locations/houston-flying-saucer,2,4.5,"What an awesome spot for dinner. An AMAZING range of beers, great food and awesome service. I tried 2 IPAs and a Hazy, while my wife had 2 cocktails. We just had starters to share, but such a lovely meal. Can't wait to go back!,First time here and it was a great experience.

French dip was spot on! Beer was great! I had a local ipa and my wife had a mixed drink.

It’s a place you must visit when in Houston!,Awesome selection of beer including many locals, which is exactly what I came for. Food is fine but unremarkable, but that’s not why you’re here. The plates recognizing all the people that drink too much beer were cool - I’d definitely have one if I lived nearby.,Good spot for a variety of beers. Outdoor seating is nice minus all the homeless people begging or sitting there.  Always great friendly bartenders though.,Great spot to come for a beer when you’re hanging or working downtown. Best spot for 100s of beers, actually. They even give you a plate with whatever you want to print on it if you drink 1-200 of their exotic beers from their extensive list."
ChIJ0Rh_Hju_QIYRaJoxeqETHd8,JW Marriott Houston Downtown,"lodging,point_of_interest,establishment",Sophisticated rooms & suites with iPads in a landmark hotel with a slick restaurant & a luxe spa.,"806 Main St, Houston, TX 77002, USA","{'lat': 29.7583321, 'lng': -95.3640592}",(713) 237-1111,https://www.marriott.com/en-us/hotels/houdj-jw-marriott-houston-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,2,4.5,"We have stayed here twice and each time has been an absolute pleasure. The service is always top notch. The room service is actually tasty. The location is close to a ton of attractions. The shuttle they offer to get around was so much better than getting an Uber. This is one of my favorite hotels. Thank you!!,Manuel at the front desk was the nicest front desk worker I have ever had the please of doing business with. He was knowledgeable about the area and answered all of our questions. He even helped me with the process of receiving an emergency package I had to have sent to the hotel. The valet parking was incredible, as me and my partner were in a huge rush to make a baseball game when we checked in. They went out of there way to park the car and then retrieve it for us so we could get our bags at a later time.,We really enjoyed our stay here. The front desk staff and housekeeping were professional, helpful and friendly. The location was great because it is close to a lot of restaurants and right next to the red line for the train. The Executive Lounge was nice and offered a great breakfast, snacks and beverages. We will definitely stay here if we visit Houston again in the future!,Very well located hotel within walking distance to Toyota center and Minute Maid park. Checking in was a breeze, valet parking was flawless. Everyone encountered was pleasant and helpful. Wish they had the evening reception on Fridays and Saturdays on the 11th floor lounge. Morning breakfast in the lounge was delicious with plenty of variety and nice comfortable seatings. The rooms are very quiet and well maintained. Only issue was the espresso machine was out of service and this really broke my heart. Not a deal breaker though. Will use again when in town.,What an amazing experience!  The hotel is so beautiful, the staff is so friendly, the valet are so cool, and the location is perfect. My wife and I were able to enjoy a nice quiet getaway from Austin for the Memorial Day holiday and the hotel really showed us amazing customer service.  The suite with the bathtub by the corner windows made my wife so happy and relaxed and we loved the executive lounge.  If you’re ever in Houston you should definitely give this place a stay."
ChIJ3_iTyzy_QIYRxx2lem4-UTk,Four Seasons Hotel Houston,"lodging,point_of_interest,establishment","Upscale hotel featuring chic rooms & suites, plus a spa, a fitness center & a Pan-Latin steakhouse.","1300 Lamar St, Houston, TX 77010, USA","{'lat': 29.7538813, 'lng': -95.3624495}",(713) 650-1300,https://www.fourseasons.com/houston/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-hfs-hre-mid-seo-na&utm_content=na-na&utm_term=na,3,4.6,"Great location as it is walking distance to some good restaurants and close to major sports venues like Minute Made Park and the Toyota Center.

Rooms are clean, and the TV had a good selection of channels from HBO to ESPN etc.

My only minor complaint is that the scent in the lobby can be a little too aromatic for some people. I enjoy more woody smells, but if you like perfume aromas, you'll like the scents.,The hotel was great! All the staff were so kind, and I especially want to mention Larreta at the front desk who went out of her way to make her stay so amazing! We are in business, and we wish we could find people to work with us like her. She is truly a gem and The Four Seasons is lucky to have her.,Simply amazing!  Room was great!  Got stuffies for the kids at check . Amazing fella at the pool made sure our girl got a great floatie pool side.  Room service was top notch. Made lasting memories for our family. Great service in every aspect.,Gross place, Host of issues -  The old lady is 1 . She is a terrible old person for security who confronts you if you're not armed or courteous in search of a room. Bad drug related problem.,Fancy schmancy spot downtown business district! Wonderful bars activities within the Four Seasons and plenty of activities around it as well! Close to sports centers and plenty of fine dining"
ChIJRb8H7tS-QIYRu_rGjln8uyI,Saint Arnold Brewing Company,"bar,restaurant,food,point_of_interest,establishment",Established craft brewery featuring facility tours & a beer hall serving pints & pub grub for lunch.,"2000 Lyons Ave, Houston, TX 77020, USA","{'lat': 29.7711841, 'lng': -95.3476251}",(713) 686-9494,http://www.saintarnold.com/,1,4.7,"The energy in this place was so much fun. We love the vibe, very laid back. The food was awesome, my daughter ordered the Margarita pizza, I had the wagyu burger, and my husband had the grilled chicken sandwich, all of which were excellent. The service was great. Our waiter was very attentive. I would definitely suggest this place, to eat at or just hang out with friends, watch TV, and have a drink. It will not disappoint. Also it is pet friendly so you don’t have to leave your fur babies at home.,Incredible food, impeccable service and atmosphere to die for 💕

Our waitress Lauren was friendly and very helpful.
The best root beer in Houston is St. Arnold's on tap. So good ✨
For foods we had the Major Mushroom pizza and the Fish & Chips. Delightful truffle scent abound with both dishes. You can tell everything is made in house. Want good bread? Eat at a good brewery 🔥🍞
The aesthetic of the place and the decor is so great! The painted murals on the wall, gothic architecture and stained glass windows really set the mood. The surrounding outdoor area is full of character- between the art cars, giant fountain and spacious patio, every seat is the best seat in the house.
I'm so happy there's a place like this in my hometown.
Bonus points: *Also their tables have purse/bag hooks for convenience*,I had an amazing time at this brewery! They offer a fantastic variety of beers, making it a great spot for beer enthusiasts. The ambiance is top-notch, with an antique design and a special car collection featuring icons like Jimi Hendrix and bands like Earth, Fire, and Water. Plus, the view of the Houston skyline is breathtaking. It's also a family-friendly place with plenty of games for kids, making it an excellent spot for everyone to hang out and enjoy.,This place has an enormous territory, but the beer variety is mediocre. They also don’t sell growlers. The place is also really expensive. It is very popularized, so high prices are expected. People working here are okay.,Very gracious hosts.  I've been fortunate enough to participate in a lot of events here for as long as they been at this location and the one before this one.  The team has always been incredible.  The event space is excellent.  Love the paintings on the wall.  The VIP area is comfortable and has a private bar available."
ChIJd5h3XDm_QIYROV7p4hPTo90,Subway,"meal_takeaway,restaurant,food,point_of_interest,establishment","Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.","1201 Louisiana St Suite# B225 & B102, Houston, TX 77002, USA","{'lat': 29.7566559, 'lng': -95.3688298}",(713) 651-7802,https://restaurants.subway.com/united-states/tx/houston/1201-louisiana?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=58031&utm_campaign=evergreen-2020&y_source=1_MTQ4OTc1MDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,1,4.2,"This particular location is my favorite.  The owner is usually there. Service is fast, and hands down the cleanest location I have been to.,Quick service. ESL, so may need to repeat your requests. Caution- they don't put napkins in your bag!,Good customer service and fresh food.,Employees are quick, so it's great for an easy lunch.,Great service and very courteous staff."
ChIJOcyQg8TDQIYR4GOjB8ND78g,The Palm - Downtown Houston,"restaurant,food,point_of_interest,establishment","Storied chain serving high-end steakhouse fare, seafood & diverse wines in clubby surrounds.","1201 Fannin St Suite 129, Houston, TX 77002, USA","{'lat': 29.7544056, 'lng': -95.36478199999999}",(713) 977-2544,https://www.thepalm.com/location/the-palm-houston/,4,4.3,"Phenomenal experience. From the moment we arrived to the moment we left it was perfection. Great menu, great service (thank you, Joseph!!), food to die for, all in an upscale modern ambiance. Will definitely be coming back. p.s. - may just be the best Lobster Bisque in town!!,A nice experience in downtown Houston We were seated immediately and were attended to by the server equally fast the. The food absolutely marvellous. Highly recommend this place for great food and overall experience.,Was here for a special event. Food was fine, the sauce on the steak was kinda watery, and portion sizes for the same dish  were not consistent, a bit disappointed.,The best thing about the restaurant was music, ambiance, service and people. Food was just ok but cheese cake was probably the best in the whole world. Appetizers were not much but very nice. The singer at the restaurant was amazing, Initially I thought it was some DAT but later found out that it was live. Kudos to service and music,Houston Restaurant Weeks 2023
3-course lunch menu
• The Palm Caesar 🥗
• Steak Allá Stone - sandwich
• The Palm Zeppoles

& of course I had leftovers because I couldn’t finish the ”sandwich” 😂"
ChIJzcmNwmu_QIYRzmUc0JR9UyM,Pho Saigon,"restaurant,food,point_of_interest,establishment",Informal eatery serving a variety of beef noodle soups (pho) & other classic Vietnamese fare.,"2808 Milam St D, Houston, TX 77006, USA","{'lat': 29.7451251, 'lng': -95.3775862}",(713) 524-3734,http://phosaigonnoodlehouse.com/,1,4.4,"This is one of my favorite pho places downtown. I ordered a large plate, but a small would suffice. The Thai tea is good, but I like it a bit sweeter and with less tapioca (I ordered it with tapioca). Overall, I love eating here!,To have seen this was rated one of the best Vietnamese spots in Houston.. I was highly disappointed in my experience.

I ordered two things, the egg rolls and a basic 11 (steak strip pho bowl), something I always get to test the waters at any pho spot and I wasn’t satisfied. I waited 15-20 minutes for my egg rolls to come out and they were lukewarm as if the staff was too busy LAUGHING and having SIDE conversations and forgot my food was sitting and waiting to be served. Though the flavor was good, it still wasn’t very pleasant for me as an experienced.

Twenty five minutes later and I’m still waiting on my pho bowl. Something that usually doesn’t takes that long is taking forever. I’ve seen multiple people get serviced before me and it wasn’t even that busy. I started looking so irritated the waiter finally said something to me after bringing my all my fix-ins for a bowl that has yet to come to ensure me that it was still on the way.

The bowl finally comes but it was given to me by somebody from the back instead of a waiter and tbh he look like he was rushing to do it. Hear me out, just because my experience here was bad doesn’t mean I’m going to give the food an (non-honest) rating because to-be-honest that broth was probably some of the best I ever tasted. But, my bowl was lacking in meat (I even ordered the largest size bowl available) and my noodles were already mushy within the first 2 minutes.. the quality just wasn’t there for me.

What honestly pissed me off was the last 5 minutes of my experience.. seeing this man come in and was able to get his pho bowl in less than 5 minutes and his water refilled…. The waiter looked at me with the water pitcher in his hand.. looked at my almost empty water cup and went on his merry way……

Smh. The broth is not that good enough to make me endure that type of mess again. I’m not even going to say it’s racism… but tbh could’ve been a great example…

(Ps: this review probably has some grammatical errors, that I will fix later but I’m so raw with emotion and passion behind this review I don’t care at the moment),I’ve never seen pho with the beef like this.. EVER!
I didn’t even order the pho to begin with, I ordered their beef and rice but the way the beef was smoked made it taste awful & they offered to switch it out for a bowl of pho..
Got the bowl just to find the grossest beef I’ve ever seen in a bowl of pho.
Also, please don’t think this was one little piece.. no no no, it was every single piece of beef in two bowls of pho…
I’ve been eating pho since the early 2000’s & never have I ever seen beef with all that fat on it.
Sad thing is I used to frequent here in college and I made sure to find this spot again a decade later to relive some good ol days..,The parking is a tight. There’s a parking garage, there’s evidence of a homeless person sleeping in the stairwell.
Service was good. Surprisingly, once we place our order, did not wait long to get our food.  Plenty of bean sprouts, they were nice and fresh.,Best Pho in the whole USA!
Im serious!
.
After trying out many pho restaurants in the states, this is my favorite shop ♥️
.
Service is efficient and friendly.
.
So satisfying every time coming here in terms of service and food! Keep up team!"
ChIJp5v6VCW_QIYRsBulbXJDew8,Frank's Pizza,"restaurant,food,point_of_interest,establishment","Giant, foldable slices of New York-style thin crust pizza (or whole pies) available late night.","417 Travis St, Houston, TX 77002, USA","{'lat': 29.7613156, 'lng': -95.3624924}",(713) 225-5656,http://frankspizza.com/,1,4.6,"Yo Frankie, can I get some slice?? Yes you can, open until 3am on weekends, this new york style pizza is just what you're wanting after a baseball game, concert, or a few drinks with friends. The classic cheese slice is the top winner, but the pepperoni and the Supreme are close 2nds. Have a beer or a soda and enjoy the downtown spot. We loved it.,The place is nice and very small. Gets packed very easily during the night! Good food for the price, we ordered an xl cheese pizza and fifteen wings, and they all tasted as expected. It was very delicious and good quality, as if it was from an NYC pizzeria. Definitely recommend giving this place a try if you want to have one of the best pizza Downtown Houston has to offer.,Delicious pizza the wings were cooked fresh. Long line but it moved super quick! Talked to some nice people in line.,Good pizza! Really amazing! Finding parking can be difficult, some homeless around so be careful.,Let me start out by saying Frank’s for nearly 8 years has been our favorite late night pizza spot until last week. Franks is a while in the wall pizza spot and I used to go for a slice or two and sometimes a whole pie but last well after not going for a while I noticed the pizza and quality has been compromised. The personnel was never why I went nor is the place super clean or nice but the pizza was the perfect amount of dough, sauce, cheese and ingredients. Last week I ordered my usual and it looked the same but once I bit into it I knew something had changed. I know places are getting skimpy with cheese like it’s going out of style but that’s such a crucial component to a pizza that it should not be allowed. I can appreciate the sauce not being super sweet and the thinly sliced dough but it needs cheese!!! Very disappointed."
ChIJAfMUjTO_QIYRVignbvh9onQ,Paper Co. Cafe,"cafe,store,restaurant,food,point_of_interest,establishment","Serving a host of coffee drinks plus classic cafe fare in an industrial, loftlike setting.","1100 Elder St, Houston, TX 77007, USA","{'lat': 29.7683504, 'lng': -95.3671116}",(713) 522-3533,http://www.papercohouston.com/,1,4.4,"Their espresso was actually really good. Not burnt, nice and thick and creamy. Food wise, the chicken and waffles were great. Chicken was super juicy and waffles were crispy. The avocado toast is the reason for the one star dock. It was somewhat too simple?,It has been a couple of years since I've last enjoy this establishment's coffee. A lot has changed since then...for one they now serve food. I decides to stop by today and see how the menu was and catch up on some personal work. I was surprised by the new set up was allowed for way more seating then my last visit. There is plenty of work space, though power outlets are limited to those seated at a table near the wall. Not a problem for those who are powered up or will only spend a short amount of time there.

I decided to have the breakfast tacos (the vegetarian friendly option), which were very tasty. The coffee was pretty good too, depending on ones preference of acidity. I would give it a 4 and half star rating out of five.

Like I said there is plenty of work space/ seating which can be hard to find at some of Houston's top coffee shop. So if you are looking for good coffee and a place to get some work done...this is a great spot.,What a lovely place! I had a fried egg sandwich, it was excellent!!! Nice atmosphere and great service. Coffee was awesome,Thus far, Paper Co has provided me with the best coffee out of all the coffee shops in Houston that I've been to. After trying their cortado (the first I had ever had based on the barista's recommendation), I liked it so much that it sent me on a mission to try as many cortados at as many coffee shops as I could to see who had the best one. After going to over a dozen places, and continuing to go over a year later, I have yet to find a place with a better cortado. Paper Co's is rich, flavorful, creamy, and chocolatey. They never fail to serve it hot and to the brim, both features that are often lacking at many other places. While Paper Co does provide the best cortado, it isn't necessarily my favorite place to go overall. Some issues are the difficulty to get here, the significant lack of outlets preventing me from sticking around to do work, and the fact that not all of the drinks are necessarily good. Here is where I am a bit more biased because I don't like their Vietnamese coffee at all, but I've never been to a non-Vietnamese place where I enjoyed the Vietnamese coffee. I would still come here, of course, not only for the cortado but also because I like the large, open atmosphere (it's basically just a big warehouse). I would, and do, highly recommend Paper Co to any coffee lovers.,Great goal and missions. Coffee is roasted on the spot and there is a large placed. Good place to study and chill. Loft like feel. There is a church next door that has a great community outreach program."
ChIJ9UCnCjy_QIYRKpjYD-r9bOM,Starbucks,"cafe,restaurant,food,store,point_of_interest,establishment","Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","914 Dallas St, Houston, TX 77002, USA","{'lat': 29.75558599999999, 'lng': -95.366569}",(713) 651-0791,https://www.starbucks.com/store-locator/store/7368/,2,4.2,"Starbucks should be ashamed. Ordered 2 beverages from this place with no ice.  I guess their ""policy"" is to not fill it completely when you ask for no ice.  Damn near half the beverage is ice when you look at it that way.  This is why,  I try to support local whenever possible. I am done with Starbucks.,Visitef from Eagle Pass and is delicious! That's according to my daughter Regi, she loves it! Had to stop before heading out. This place is right next to our stay amd is excellent! Super clean, very attentive staff and service was fast. Recommended!,Order a coffee like how it comes it was half empty didn't like the service paid for full price and still didn't  get what i got.. order in the past  they still arent getting it right. 😒,Do not go here. I came a few days ago to pick up my order I placed online. I walk in and was immediately met with skeptical stares instead of a greeting. I then had to announce that I was there to pick up my order, one of the two employees attempted to be nice and asked what my name was and I responded Vivica and she proceeded to point to where my order was and walked off, mind you there was two other customers who had ordered. They looked as confused as me but what disappointed me the most at that moment was the fact that I saw I was the only one being mistreated and I was the only person of color. At that moment I was ready to leave it just wasn’t a welcoming environment; I then reached for my drinks because I already felt extremely uncomfortable and just out of place, I just wanted to get the hell out of there. I then reached for my bag as well and the second employee snatches the bag. I am immediately furious at this point and she then pushes the bag towards me after seeing my name on the bag as well… I didn’t say another word and abruptly left. Whoever manages this property may want to reconsider who’s working there because you will never retain customers with women like that. I am surely never returning and I suggest who’s considering visiting this location to reconsider. There are multiple Starbucks in the area within 5 minutes of this exact location.,Super busy but efficient.  This Starbucks is connected to 2 big hotels so the morning rush is CRAZY. However, they have enough people working to get orders in and out."
